A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/10/2016 2:00,2016,1,10,2,91,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 3:00,2016,1,10,3,83,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 4:00,2016,1,10,4,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 5:00,2016,1,10,5,69,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 6:00,2016,1,10,6,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 7:00,2016,1,10,7,55,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 8:00,2016,1,10,8,57,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 9:00,2016,1,10,9,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 10:00,2016,1,10,10,60,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 11:00,2016,1,10,11,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 12:00,2016,1,10,12,68,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 13:00,2016,1,10,13,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 14:00,2016,1,10,14,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 15:00,2016,1,10,15,50,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 16:00,2016,1,10,16,57,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 17:00,2016,1,10,17,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 18:00,2016,1,10,18,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 19:00,2016,1,10,19,64,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 20:00,2016,1,10,20,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 21:00,2016,1,10,21,66,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 22:00,2016,1,10,22,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/10/2016 23:00,2016,1,10,23,56,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 0:00,2016,1,11,0,56,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 1:00,2016,1,11,1,54,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 2:00,2016,1,11,2,51,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 3:00,2016,1,11,3,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 4:00,2016,1,11,4,69,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 5:00,2016,1,11,5,70,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 6:00,2016,1,11,6,67,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 7:00,2016,1,11,7,79,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 8:00,2016,1,11,8,76,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 9:00,2016,1,11,9,75,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/11/2016 10:00,2016,1,11,10,88,µg/m³,1 Hr,Valid
